cristal,,vidrio,,Acetato,,cristal,,Viodrio,,
Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),Abs,Wavelength (nm),Abs,
2230,91.26644897,2230,88.73643494,2230,81.14674377,2230,0.04010971263,2230,0.05144129694,
2229,91.23201752,2229,88.74534607,2229,80.70777893,2229,0.04004129395,2229,0.05139412358,
2228,91.19722748,2228,88.75442505,2228,80.85751343,2228,0.03997249156,2228,0.05132524669,
2227,91.18530273,2227,88.76846313,2227,81.59720612,2227,0.03995240107,2227,0.05129157007,
2226,91.20002747,2226,88.77962494,2226,82.79853821,2226,0.03994462267,2226,0.05124347657,
2225,91.24187469,2225,88.79504395,2225,84.22743988,2225,0.0399274826,2225,0.05120293051,
2224,91.27783203,2224,88.80125427,2224,85.54168701,2224,0.03994964808,2224,0.05111644045,
2223,91.30141449,2223,88.81014252,2223,86.61393738,2223,0.03997987136,2223,0.05107261613,
2222,91.31020355,2222,88.82411194,2222,87.21400452,2222,0.04001498222,2222,0.05100364611,
2221,91.28079987,2221,88.83557892,2221,87.1622467,2221,0.0400166288,2221,0.05093320087,
